 UNIVERSIDAD POLITÉCNICA DE PACHUCA
Página :    1
UPP040316H43ACHUCA CD. SAHAGUN
               LGO
 Balanza de comprobación al 30/Junio/15
 Cuenta inicial : 1-0-0-0-000-000-000000
 Cuenta final   : 7-5-0-0-000-000-000000
 Tipo de moneda :
 Todas

 Núm. cuenta               Descripción                        Saldo anterior          Debe             Haber          Saldo actual
 1-1-1-2-001-012-000000              CTA 0166098215 JORGE               0.00                0.00              0.00              0.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-001-016-000000              CTA 0167350759 PROGRA        364,063.38        1,594,447.78      1,594,447.78        364,063.38                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-001-018-000000              CTA.0174428684 ARTURO          1,273.83                0.00              0.00          1,273.83                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-001-020-000000              CTA. 0174097882 TIC´S              0.00                0.00              0.00              0.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-001-021-000000              CTA. 0180737488 INNOV         21,071.56               47.38              0.00         21,118.94                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-001-022-000000              CTA.0176157726 FOMIX          66,276.36                0.00              0.00         66,276.36                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-002-000-000000            BANAMEX                        127,978.98          402,941.58        403,192.14        127,728.42                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-002-001-000000              CTA PUENTE 0827811103        127,978.98          402,941.58        403,192.14        127,728.42                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-000-000000            BANORTE                     21,199,091.75       20,185,755.47     19,893,724.90     21,491,122.32                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-001-000000              CTA.0654922554 ING. P      3,102,997.34        1,778,560.94      2,202,215.32      2,679,342.96                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-002-000000              CTA. 0654922563 SUB F      4,514,233.48        4,202,705.87      8,300,000.00        416,939.35                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-003-000000              CTA.0654922572 SUB ES         86,599.00        3,751,870.00              0.00      3,838,469.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-004-000000              CTA. 0654922590 FAM 2            490.50                0.00            490.50              0.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-006-000000              CTA. 0654922581 GTOS         434,258.30        8,375,438.18      8,152,441.18        657,255.30                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-007-000000              CTA.0663304228 FONDO       4,758,025.02                0.00        310,000.00      4,448,025.02                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-008-000000              CTA.0663304264 FAM 20        162,842.30               19.81            854.75        162,007.36                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-009-000000              CTA.0663304255 MADRES         36,215.79                4.46          9,048.72         27,171.53                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-012-000000              CTA.0683345667 RECUR             297.16                0.00              0.00            297.16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-018-000000              CTA-0804977872 PROMEP        428,525.91              146.25         17,719.50        410,952.66                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-020-000000              CTA-0818691746 AMPLIA        218,914.93                0.00          5,660.80        213,254.13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-023-000000              CTA-08312131824 APLIC        198,001.63               44.79        131,129.21         66,917.21                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-030-000000              CTA-0847452415 PERSON      1,032,204.26              720.82              0.00      1,032,925.08                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-035-000000              CTA-0864447409 ABEL 1        236,638.70                0.00        236,638.70              0.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-036-000000              CTA-0864439468 ANDUCH        104,691.76                0.00              0.00        104,691.76                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-037-000000              CTA-0864443595 YURIDI         17,499.33                0.00         11,678.61          5,820.72                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-038-000000              CTA-0864445638 AINHOA        240,601.16                0.00         18,264.00        222,337.16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-040-000000              CTA-0864542331 MARCO         341,119.80                0.00              0.00        341,119.80                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-043-000000              CTA-0886568995 SINARE        224,239.52                0.00        219,146.02          5,093.50                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-046-000000              CTA-0893379386 SOLUCI         83,807.53                0.00              0.00         83,807.53                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-047-000000              CTA-0893381053 MANTIZ        127,769.40                0.00          1,930.00        125,839.40                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-050-000000              CTA-0897594824 COMP.           2,605.43                0.00          2,320.00            285.43                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
