 UNIVERSIDAD POLITÉCNICA DE PACHUCA
Página :    1
UPP040316H43ACHUCA CD. SAHAGUN
               LGO
 Balanza de comprobación al 31/Diciembre/16
 Cuenta inicial : 1-0-0-0-000-000-000000
 Cuenta final   : 6-3-3-0-000-000-000000
 Tipo de moneda :
 Todas
 A
 Núm. cuenta               Descripción                        Saldo anterior          Debe             Haber          Saldo actual
 1-1-1-2-001-016-000000              CTA 0167350759 PROGRA        297,417.06                0.00              0.00        297,417.06                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-001-018-000000              CTA.0174428684 ARTURO          4,366.69                0.00              0.00          4,366.69                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-001-021-000000              CTA. 0180737488 INNOV         22,161.30              108.34              0.00         22,269.64                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-001-022-000000              CTA.0176157726 FOMIX          66,276.36                0.00              0.00         66,276.36                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-002-000-000000            BANAMEX                         23,468.90          679,267.07        679,517.63         23,218.34                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-002-001-000000              CTA PUENTE 0827811103         23,468.90          679,267.07        679,517.63         23,218.34                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-000-000000            BANORTE                     33,721,236.42       42,461,960.25     53,280,027.60     22,903,169.07                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-001-000000              CTA.0654922554 ING. P      7,082,963.34          871,508.86      6,913,084.57      1,041,387.63                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-002-000000              CTA. 0654922563 SUB F     13,627,246.54        2,454,946.46     15,948,819.00        133,374.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-003-000000              CTA.0654922572 SUB ES         57,310.79        6,058,804.12      6,100,000.00         16,114.91                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-006-000000              CTA. 0654922581 GTOS       2,681,079.98       19,645,013.20     21,253,501.80      1,072,591.38                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-007-000000              CTA.0663304228 FONDO       4,190,004.07            7,502.55              0.00      4,197,506.62                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-009-000000              CTA.0663304255 MADRES         79,330.55               14.22         11,000.00         68,344.77                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-012-000000              CTA.0683345667 RECUR             199.49          273,545.17              0.00        273,744.66                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-018-000000              CTA-0804977872 PROMEP      1,931,233.00              407.36        359,563.08      1,572,077.28                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-020-000000              CTA-0818691746 AMPLIA        113,439.78                0.00         53,200.00         60,239.78                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-030-000000              CTA-0847452415 PERSON        305,905.06               73.76              0.00        305,978.82                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-036-000000              CTA-0864439468 ANDUCH         36,019.40                0.00              0.00         36,019.40                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-037-000000              CTA-0864443595 YURIDI         23,051.09                0.00              0.00         23,051.09                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-038-000000              CTA-0864445638 AINHOA        152,391.78                0.00              0.00        152,391.78                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-040-000000              CTA-0864542331 MARCO         318,181.33                0.00        295,425.03         22,756.30                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-042-000000              CTA-0887649172 IMJUVE            554.62                0.00            554.62              0.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-046-000000              CTA-0893379386 SOLUCI              0.00                0.00              0.00              0.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-057-000000              CTA-0217575506 FESE-H             20.00                0.00              0.00             20.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-058-000000              CTA-0224337597 CAJAPL          2,401.00                0.00              0.00          2,401.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-063-000000              CTA-0226213408 FACTIB        243,645.20                0.00        136,469.67        107,175.53                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-068-000000              CTA-0241051377 MICROB             70.37                0.00              0.00             70.37                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-070-000000              CTA-0250330953 APOYOS         11,913.00                0.00              0.00         11,913.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-076-000000              CTA-0284756697 PH DEC          8,064.75                0.00          8,064.75              0.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-077-000000              CTA-0280212645 PROYEC          2,413.79                0.00              0.00          2,413.79                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-078-000000              CTA-0282250614 GAMPA          74,999.07                0.00         74,999.07              0.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-081-000000              CTA-0282242020 TWYNCO          1,871.43                0.00          1,871.43              0.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
