 UNIVERSIDAD POLITÉCNICA DE PACHUCA
Página :    1
UPP040316H43ACHUCA CD. SAHAGUN
               LGO
 Balanza de comprobación al 30/Septiembre/13
 Cuenta inicial : 1-0-0-0-000-000-000000
 Cuenta final   : 6-3-3-0-000-000-000000
 Tipo de moneda :
 Todas

 Núm. cuenta               Descripción                        Saldo anterior          Debe             Haber          Saldo actual
 1-1-1-2-001-016-000000              CTA 0167350759 PROGRA        707,720.92          398,462.44        392,660.37        713,522.99                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-001-017-000000              CTA.0169885552 FONCIC          2,625.81                0.00              0.00          2,625.81                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-001-018-000000              CTA.0174428684 ARTURO         15,102.36                0.00          4,814.00         10,288.36                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-001-021-000000              CTA. 0180737488 INNOV         19,960.26               26.59              0.00         19,986.85                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-001-022-000000              CTA.0176157726 FOMIX          66,276.36                0.00              0.00         66,276.36                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-001-023-000000              CTA.0176159885 CIENCI         52,756.81                0.00              0.00         52,756.81                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-002-000-000000            BANAMEX                         41,636.03                0.00            280.72         41,355.31                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-002-001-000000              CTA PUENTE 0827811103         41,636.03                0.00            280.72         41,355.31                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-003-000-000000            SANTANDER                           75.80                0.00             75.80              0.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-003-001-000000              014290655025626322 MO             75.80                0.00             75.80              0.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-000-000000            BANORTE                     43,597,731.67       16,069,858.16     18,023,095.97     41,644,493.86                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-001-000000              CTA.0654922554 ING. P      7,983,328.36        3,129,014.58      4,733,659.29      6,378,683.65                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-002-000000              CTA. 0654922563 SUB F     10,748,893.96           28,905.41      2,500,000.00      8,277,799.37                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-003-000000              CTA.0654922572 SUB ES        186,697.77        3,950,154.00      4,136,851.77              0.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-004-000000              CTA. 0654922590 FAM 2        359,347.93              925.10        260,768.00         99,505.03                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-006-000000              CTA. 0654922581 GTOS         951,615.56        6,673,607.33      5,485,572.02      2,139,650.87                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-007-000000              CTA.0663304228 FONDO       5,402,678.20                0.00        354,690.00      5,047,988.20                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-008-000000              CTA.0663304264 FAM 20        427,558.75            1,374.43         48,827.95        380,105.23                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-009-000000              CTA.0663304255 MADRES        113,204.88               41.35             18.56        113,227.67                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-012-000000              CTA.0683345667 RECUR       3,999,546.22           12,293.90              0.00      4,011,840.12                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-018-000000              CTA-0804977872 PROMEP        118,896.90            3,837.10        110,209.05         12,524.95                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-020-000000              CTA-0818691746 AMPLIA        568,472.98                0.00         45,240.00        523,232.98                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-023-000000              CTA-08312131824 APLIC        112,415.78            3,729.56          3,257.28        112,888.06                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-024-000000              CTA-0844853440 MARICE         90,500.00                0.00              0.00         90,500.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-029-000000              CTA-0844547356 PADES          91,537.84               27.87         16,209.00         75,356.71                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-030-000000              CTA-0847452415 PERSON      2,415,303.98            1,028.25              0.00      2,416,332.23                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-033-000000              CTA-0844546612 PIFI 2        311,469.04              134.31              0.00        311,603.35                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-034-000000              CTA-0853320551 DESARR          8,588.66                0.00              0.00          8,588.66                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-035-000000              CTA-0864447409 ABEL 1        697,001.02                0.00         27,580.00        669,421.02                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-036-000000              CTA-0864439468 ANDUCH              1.00                0.00              0.00              1.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-004-037-000000              CTA-0864443595 YURIDI        690,001.00                0.00          3,872.65        686,128.35                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
